gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,PreviousGrade,ExtracurricularActivities,LearningStyle,PersonalityType,MotivationLevel,ComputerUsage,InternetAccess,Friendships,PeerInfluence,ParentalEducation,ParentTeacherMeetings,PhysicalActivity,SleepDuration,AttitudeTowardsSubjects,BehavioralIssues,raisedhands,VisITedResources,AnnouncementsView,Discussion
M,us,China,middlelevel,G-04,B,Math,S,Mother,No,Bad,Above-7,H,A,Yes,Visual,Introvert,Low,Medium,No,Some,Positive,Bachelor,No,Moderate,Insufficient,Negative,No,15,86,7,46
M,ind,USA,highlevel,G-05,C,History,S,Guardian,Yes,Good,Under-7,M,B,No,Visual,Introvert,High,Medium,No,Some,Neutral,Bachelor,No,Moderate,Insufficient,Positive,Yes,30,68,5,27
F,ind,France,preschool,G-07,A,English,F,Father,Yes,Good,Under-7,H,C,Yes,Auditory,Extrovert,Medium,High,Yes,Some,Neutral,PhD,No,Inactive,Insufficient,Neutral,No,85,98,1,31
F,ind,Saudi Arabia,middlelevel,G-04,B,Math,F,Mother,No,Good,Under-7,M,D,Yes,Auditory,Extrovert,High,Medium,Yes,None,Positive,HighSchool,Yes,Inactive,Adequate,Neutral,No,71,41,16,5
M,cn,India,preschool,G-06,E,IT,F,Guardian,Yes,Good,Under-7,M,C,Yes,Kinesthetic,Extrovert,Low,Medium,Yes,Some,Neutral,Bachelor,No,Moderate,Adequate,Neutral,Yes,52,51,19,3
M,uk,France,highlevel,G-07,C,English,F,Father,No,Good,Above-7,H,D,Yes,Auditory,Extrovert,High,High,No,None,Positive,Bachelor,Yes,Inactive,Adequate,Positive,No,73,92,13,42
M,cn,India,middlelevel,G-04,E,Science,F,Mother,No,Good,Above-7,H,E,Yes,Visual,Introvert,Medium,Medium,No,Many,Neutral,Bachelor,No,Moderate,Adequate,Positive,Yes,41,18,11,44
M,us,UK,lowerlevel,G-07,C,Science,S,Father,No,Good,Under-7,M,E,No,Kinesthetic,Introvert,Medium,Low,No,Many,Positive,PhD,No,Active,Insufficient,Negative,Yes,71,50,3,23
M,uk,Saudi Arabia,middlelevel,G-05,D,Math,F,Mother,No,Bad,Above-7,M,B,No,Kinesthetic,Introvert,Medium,High,Yes,Some,Positive,Master,No,Active,Insufficient,Neutral,Yes,71,20,20,6
F,ind,France,preschool,G-07,E,Science,F,Mother,Yes,Bad,Above-7,H,D,No,Visual,Introvert,High,High,Yes,None,Negative,PhD,Yes,Active,Adequate,Neutral,No,56,68,7,21
M,fr,France,highlevel,G-04,E,IT,S,Father,No,Good,Above-7,H,C,No,Auditory,Extrovert,Low,High,No,Some,Negative,Bachelor,No,Inactive,Adequate,Neutral,No,54,28,12,27
M,saudi,China,middlelevel,G-04,E,Science,F,Father,Yes,Bad,Above-7,M,A,Yes,Visual,Extrovert,High,High,Yes,Some,Neutral,Master,No,Moderate,Adequate,Neutral,No,73,16,3,21
F,cn,France,preschool,G-04,B,English,S,Father,Yes,Good,Under-7,M,B,Yes,Auditory,Introvert,High,Medium,No,None,Negative,HighSchool,No,Active,Insufficient,Positive,Yes,10,14,17,35
